date,price,prev_pos,action,new_pos,turnover,reward,portfolio_value,portfolio_ret,trade
2023-02-14,397.8286437988281,0.0,1.0,1.0,1.0,-0.00105,0.99895,-0.0010499999999999954,BUY
2023-02-15,399.1205749511719,1.0,1.0,1.0,0.0,-0.013768980461881242,0.9851954769676038,-0.013768980461881242,HOLD
2023-02-16,393.6250915527344,1.0,1.0,1.0,0.0,-0.002498079786750318,0.9827343800605932,-0.002498079786750318,HOLD
2023-02-17,392.64178466796875,1.0,1.0,1.0,0.0,-0.02006111260254284,0.9630196350038075,-0.02006111260254284,HOLD
2023-02-21,384.76495361328125,1.0,1.0,1.0,0.0,-0.001378016363924539,0.9616925781879916,-0.001378016363924539,HOLD
2023-02-22,384.2347412109375,1.0,1.0,1.0,0.0,0.005319284126480417,0.966808094253701,0.005319284126480417,HOLD
2023-02-23,386.2785949707031,1.0,1.0,1.0,0.0,-0.010682297251677797,0.9564803628055548,-0.010682297251677797,HOLD
2023-02-24,382.1522521972656,1.0,1.0,1.0,0.0,0.003405906152711635,0.9597380451581821,0.003405906152711635,HOLD
2023-02-27,383.4538269042969,1.0,1.0,1.0,0.0,-0.0036958173149813645,0.9561910286730401,-0.0036958173149813645,HOLD
2023-02-28,382.0366516113281,1.0,1.0,1.0,0.0,-0.0038359791212690952,0.9525230998511055,-0.0038359791212690952,HOLD
2023-03-01,380.5711669921875,1.0,1.0,1.0,0.0,0.007777038970836481,0.9599309091192695,0.007777038970836481,HOLD
2023-03-02,383.5308837890625,1.0,1.0,1.0,0.0,0.016037903997122793,0.9753261888835951,0.016037903997122793,HOLD
2023-03-03,389.6819152832031,1.0,1.0,1.0,0.0,0.0006928446075709083,0.9760019383741858,0.0006928446075709083,HOLD
2023-03-06,389.951904296875,1.0,1.0,1.0,0.0,-0.015328757114603131,0.9610410417174661,-0.015328757114603131,HOLD
2023-03-07,383.97442626953125,1.0,1.0,1.0,0.0,0.0016320043897373182,0.9626094649162668,0.0016320043897373182,HOLD
2023-03-08,384.60107421875,1.0,1.0,1.0,0.0,-0.01844975262263171,0.9448495584163578,-0.01844975262263171,HOLD
2023-03-09,377.5052795410156,1.0,1.0,1.0,0.0,-0.014429479228652564,0.9312158713389874,-0.014429479228652564,HOLD
2023-03-10,372.0580749511719,1.0,1.0,1.0,0.0,-0.001425243727258385,0.929888661759638,-0.0014252437272584961,HOLD
2023-03-13,371.5278015136719,1.0,1.0,1.0,0.0,0.016530007705625183,0.9452597285038983,0.016530007705625183,HOLD
2023-03-14,377.6691589355469,1.0,1.0,1.0,0.0,-0.006254311454852224,0.9393477797561058,-0.006254311454852224,HOLD
2023-03-15,375.3070983886719,1.0,1.0,1.0,0.0,0.01754503940986485,0.9558286735714958,0.01754503940986485,HOLD
2023-03-16,381.8918762207031,1.0,1.0,1.0,0.0,-0.011692500611123702,0.9446526462216316,-0.011692500611123702,HOLD
2023-03-17,377.4266052246094,1.0,1.0,1.0,0.0,0.009615674612078573,0.9537361186891378,0.009615674612078573,HOLD
2023-03-20,381.0558166503906,1.0,1.0,1.0,0.0,0.013130407016829437,0.9662590621141773,0.013130407016829437,HOLD
2023-03-21,386.0592346191406,1.0,1.0,1.0,0.0,-0.017046511376053286,0.9497877160196334,-0.017046511376053286,HOLD
2023-03-22,379.478271484375,1.0,1.0,1.0,0.0,0.0027033930091362457,0.9523553654912844,0.0027033930091362457,HOLD
2023-03-23,380.504150390625,1.0,1.0,1.0,0.0,0.006562130063616944,0.9586048452664216,0.006562130063616944,HOLD
2023-03-24,383.0010681152344,1.0,1.0,1.0,0.0,0.001869694448182857,0.9603971434236175,0.001869694448182857,HOLD
2023-03-27,383.7171630859375,1.0,1.0,1.0,0.0,-0.002244536269676467,0.9582414972019095,-0.002244536269676467,HOLD
2023-03-28,382.85589599609375,1.0,1.0,1.0,0.0,0.014534863793342234,0.9721694068448676,0.014534863793342234,HOLD
2023-03-29,388.420654296875,1.0,1.0,1.0,0.0,0.005855150722420488,0.9778616052496705,0.005855150722420488,HOLD
2023-03-30,390.6949157714844,1.0,1.0,1.0,0.0,0.014094664775234467,0.9916442367722372,0.014094664775234467,HOLD
2023-03-31,396.2016296386719,1.0,1.0,1.0,0.0,0.003810753281184631,0.9954231483012849,0.003810753281184631,HOLD
2023-04-03,397.7114562988281,1.0,1.0,1.0,0.0,-0.005548330294580128,0.9899002118916386,-0.005548330294580128,HOLD
2023-04-04,395.50482177734375,1.0,1.0,1.0,0.0,-0.002618306835962203,0.9873083493999223,-0.002618306835962203,HOLD
2023-04-05,394.4692687988281,1.0,1.0,1.0,0.0,0.003900984135115859,0.9911598236073988,0.003900984135115859,HOLD
2023-04-06,396.0080871582031,1.0,1.0,1.0,0.0,0.0010264023292143598,0.9921771523589732,0.0010264023292143598,HOLD
2023-04-10,396.41455078125,1.0,1.0,1.0,0.0,0.0002685971790599151,0.9924436483432245,0.0002685971790599151,HOLD
